Date,GDP,CPI,Growth,Inflation,Theme
1960-05-01,2.058208211858825,1.661129568106312,low,low,Reflection
1960-06-01,2.058208211858825,1.655629139072845,low,low,Reflection
1960-07-01,2.485388760787344,1.324503311258285,low,low,Reflection
1960-08-01,2.485388760787344,1.324503311258285,low,low,Reflection
1960-09-01,2.485388760787344,0.990099009900991,low,low,Reflection
1960-10-01,0.8826841433780652,1.3157894736842255,low,low,Reflection
1960-11-01,0.8826841433780652,1.3157894736842255,low,low,Reflection
1960-12-01,0.8826841433780652,0.6557377049180246,low,low,Reflection
1961-01-01,-0.6691282418001765,0.9836065573770592,low,low,Reflection
1961-02-01,-0.6691282418001765,0.6535947712418277,low,low,Reflection
1961-03-01,-0.6691282418001765,0.9803921568627416,low,low,Reflection
1961-04-01,1.5644549360356752,0.9803921568627416,low,low,Reflection
1961-05-01,1.5644549360356752,0.9803921568627416,low,low,Reflection
1961-06-01,1.5644549360356752,0.9771986970684045,low,low,Reflection
2002-12-01,1.9912861846485663,1.9639065817409709,low,low,Reflection
2003-01-01,1.6761889404258712,1.9607843137255052,low,low,Reflection
2003-02-01,1.6761889404258712,1.7979904812268632,low,low,Reflection
2003-03-01,1.6761889404258712,1.744186046511631,low,low,Reflection
2003-04-01,1.956993641779592,1.4760147601476037,low,low,Reflection
2003-05-01,1.956993641779592,1.5263157894736867,low,low,Reflection
2003-06-01,1.956993641779592,1.4721345951629994,low,low,Reflection
2008-12-01,-2.540339259876201,1.7624596562335837,low,low,Reflection
2009-01-01,-3.282392443793525,1.6723503187990874,low,low,Reflection
2009-02-01,-3.282392443793525,1.800980653363804,low,low,Reflection
2009-03-01,-3.282392443793525,1.7876130957932943,low,low,Reflection
2009-04-01,-3.9955047793063247,1.93232662192393,low,low,Reflection
2009-05-01,-3.9955047793063247,1.8461309413034588,low,low,Reflection
2009-06-01,-3.9955047793063247,1.711972667855011,low,low,Reflection
2009-07-01,-3.1376750032877987,1.5270992984974363,low,low,Reflection
2009-08-01,-3.1376750032877987,1.4339650543224725,low,low,Reflection
2009-09-01,-3.1376750032877987,1.4798373886199645,low,low,Reflection
2009-10-01,0.0816575838765265,1.712733177113113,low,low,Reflection
2009-11-01,0.0816575838765265,1.714243571010421,low,low,Reflection
2009-12-01,0.0816575838765265,1.8236717759594343,low,low,Reflection
2010-01-01,1.7684572320283642,1.5123351706495702,low,low,Reflection
2010-02-01,1.7684572320283642,1.3494526888039982,low,low,Reflection
2010-03-01,1.7684572320283642,1.1592051426555503,low,low,Reflection
2011-01-01,2.030608190613159,0.9835337415527112,low,low,Reflection
2011-02-01,2.030608190613159,1.124445592146106,low,low,Reflection
2011-03-01,2.030608190613159,1.2097851736773355,low,low,Reflection
2011-04-01,1.7379050686072928,1.3155392125784535,low,low,Reflection
2011-05-01,1.7379050686072928,1.4540961794335727,low,low,Reflection
2011-06-01,1.7379050686072928,1.5836776766096738,low,low,Reflection
2011-07-01,0.9182208483861533,1.741483445742964,low,low,Reflection
2011-08-01,0.9182208483861533,1.9651571719433656,low,low,Reflection
2011-09-01,0.9182208483861533,1.9877227562006272,low,low,Reflection
2012-10-01,1.566064345889151,1.9946491483669335,low,low,Reflection
2012-11-01,1.566064345889151,1.9528512686261437,low,low,Reflection
2012-12-01,1.566064345889151,1.8996943778720743,low,low,Reflection
2013-01-01,1.6163010952802814,1.9098022178631435,low,low,Reflection
2013-02-01,1.6163010952802814,1.9887385214485631,low,low,Reflection
2013-03-01,1.6163010952802814,1.889022137798824,low,low,Reflection
2013-04-01,1.2961704903847735,1.715558856294086,low,low,Reflection
2013-05-01,1.2961704903847735,1.6455519491850756,low,low,Reflection
2013-06-01,1.2961704903847735,1.6230952474272975,low,low,Reflection
2013-07-01,1.9198446200382249,1.7002217680567089,low,low,Reflection
2013-08-01,1.9198446200382249,1.782107690904433,low,low,Reflection
2013-09-01,1.9198446200382249,1.7519368418314365,low,low,Reflection
2014-01-01,1.2940558593095286,1.6070344358370292,low,low,Reflection
2014-02-01,1.2940558593095286,1.5548073904948725,low,low,Reflection
2014-03-01,1.2940558593095286,1.6456609706435588,low,low,Reflection
2014-04-01,2.4519991676588138,1.8210555250137483,low,low,Reflection
2014-05-01,2.4519991676588138,1.9455269618362525,low,low,Reflection
2014-06-01,2.4519991676588138,1.922862652667656,low,low,Reflection
2015-07-01,2.182668511263297,1.834631289489708,low,low,Reflection
2015-08-01,2.182668511263297,1.850632327342128,low,low,Reflection
2015-09-01,2.182668511263297,1.8970961446650887,low,low,Reflection
2015-10-01,1.8746840586457256,1.9135335359607983,low,low,Reflection
2015-11-01,1.8746840586457256,1.9974275238246355,low,low,Reflection
2017-04-01,2.1467165829075707,1.8965650108902388,low,low,Reflection
2017-05-01,2.1467165829075707,1.7370931912259246,low,low,Reflection
2017-06-01,2.1467165829075707,1.6991193342490218,low,low,Reflection
2017-07-01,2.266564638337365,1.6769627444729984,low,low,Reflection
2017-08-01,2.266564638337365,1.6552412618799472,low,low,Reflection
2017-09-01,2.266564638337365,1.5953898457655935,low,low,Reflection
2020-04-01,-9.083737424225037,1.4555768481970377,low,low,Reflection
2020-05-01,-9.083737424225037,1.252282508834579,low,low,Reflection
2020-06-01,-9.083737424225037,1.195307003365742,low,low,Reflection
2020-07-01,-2.8875059888336607,1.5412291121898123,low,low,Reflection
2020-08-01,-2.8875059888336607,1.7138963030268517,low,low,Reflection
2020-09-01,-2.8875059888336607,1.724945953709156,low,low,Reflection
2020-10-01,-2.2629152430098443,1.6274304861160882,low,low,Reflection
2020-11-01,-2.2629152430098443,1.640542301882375,low,low,Reflection
2020-12-01,-2.2629152430098443,1.5962851186489102,low,low,Reflection
2021-01-01,0.5469768032827282,1.3872936513298573,low,low,Reflection
2021-02-01,0.5469768032827282,1.287614711531604,low,low,Reflection
2021-03-01,0.5469768032827282,1.6600728319021707,low,low,Reflection
